# Parameter : Q->GQ gs = 1.66238 P = 300 T = 1 z = 0.25 mDSqr= 4.14527 Qs^2 = 19.6581 q0= 0.777193 q3= 6.87004 muSqr= 0.444905
 t Sum LODeriv NLODeriv NLODeriv2 LOSpect NLOSpect NLOSpect2 
0.125333 0.0166482 0.0123654 0.00219772 0.00428284 0.124058 0.0244063 0.0629221
0.126222 0.0164693 0.0123536 0.00219516 0.00411565 0.125294 0.0246261 0.0633503
0.127111 0.0165239 0.0123424 0.00219228 0.00418151 0.126528 0.0248456 0.0637619
0.128 0.0166051 0.0123316 0.00218911 0.00427349 0.127762 0.0250648 0.0641801
0.128889 0.0165111 0.0123214 0.00218566 0.00418973 0.128995 0.0252838 0.0646074
0.129778 0.0164624 0.0123116 0.00218195 0.00415079 0.130226 0.0255023 0.0650264
0.130667 0.0165373 0.0123023 0.00217801 0.00423497 0.131457 0.0257205 0.0654415
0.131556 0.0166232 0.0122935 0.00217386 0.00432979 0.132687 0.0259383 0.065865
0.132444 0.0165612 0.0122851 0.0021695 0.00427617 0.133916 0.0261557 0.0662979
0.133333 0.0165432 0.0122771 0.00216497 0.00426609 0.135144 0.0263726 0.0667256
0.134222 0.0166024 0.0122696 0.00216027 0.00433274 0.136371 0.0265891 0.0671522
0.135111 0.0164932 0.0122625 0.00215543 0.00423062 0.137598 0.0268052 0.0675854
0.136 0.0166605 0.0122559 0.00215047 0.00440468 0.138824 0.0270207 0.0680085
0.136889 0.0166087 0.0122496 0.00214539 0.00435913 0.140049 0.0272358 0.068449
0.137778 0.016597 0.0122437 0.00214021 0.00435337 0.141274 0.0274503 0.0688849
0.138667 0.0165673 0.0122381 0.00213496 0.00432919 0.142498 0.0276643 0.0693202
0.139556 0.0166151 0.012233 0.00212963 0.00438211 0.143721 0.0278778 0.0697531
0.140444 0.0165584 0.0122281 0.00212426 0.00433027 0.144944 0.0280908 0.0701914
0.141333 0.0166657 0.0122236 0.00211884 0.00444206 0.146167 0.0283032 0.0706244
0.142222 0.0166715 0.0122194 0.00211339 0.00445205 0.147389 0.0285151 0.0710686
0.143111 0.0165867 0.0122156 0.00210793 0.00437111 0.148611 0.0287264 0.0715138
0.144 0.0167096 0.012212 0.00210246 0.00449756 0.149832 0.0289372 0.0719509
0.144889 0.0166114 0.0122087 0.002097 0.00440269 0.151053 0.0291475 0.0724007
0.145778 0.0166257 0.0122057 0.00209156 0.00441995 0.152274 0.0293572 0.0728409
0.146667 0.016571 0.012203 0.00208614 0.00436803 0.153494 0.0295663 0.0732829
0.147556 0.0167451 0.0122005 0.00208076 0.00454465 0.154715 0.0297749 0.0737197
0.148444 0.0166104 0.0121982 0.00207542 0.00441212 0.155934 0.029983 0.0741742
0.149333 0.0167193 0.0121962 0.00207014 0.00452311 0.157154 0.0301906 0.0746154
0.150222 0.0166666 0.0121944 0.00206491 0.00447221 0.158374 0.0303976 0.0750677
0.151111 0.0166963 0.0121928 0.00205976 0.0045035 0.159593 0.0306041 0.0755149
0.152 0.0165894 0.0121914 0.00205468 0.00439795 0.160812 0.03081 0.0759653
0.152889 0.0167303 0.0121902 0.00204967 0.0045401 0.162031 0.0310155 0.0764051
0.153778 0.0167042 0.0121892 0.00204476 0.004515 0.16325 0.0312205 0.0768591
0.154667 0.0166182 0.0121883 0.00203993 0.00442985 0.164469 0.031425 0.0773106
0.155556 0.0167528 0.0121876 0.00203521 0.00456522 0.165688 0.0316289 0.0777536
0.156444 0.016686 0.0121871 0.00203058 0.00449892 0.166907 0.0318325 0.0782101
0.157333 0.0166866 0.0121867 0.00202606 0.00449995 0.168125 0.0320355 0.07866
0.158222 0.0167087 0.0121864 0.00202165 0.00452231 0.169344 0.0322381 0.07911
0.159111 0.0167701 0.0121862 0.00201735 0.00458391 0.170563 0.0324403 0.0795622
0.16 0.0166533 0.0121862 0.00201316 0.00446708 0.171781 0.032642 0.0800206
0.160889 0.0167134 0.0121863 0.00200909 0.00452707 0.173 0.0328433 0.0804673
0.161778 0.0167685 0.0121865 0.00200514 0.00458203 0.174219 0.0330443 0.08092
0.162667 0.016743 0.0121867 0.0020013 0.00455622 0.175437 0.0332448 0.0813782
0.163556 0.0167187 0.0121871 0.00199759 0.00453165 0.176656 0.0334449 0.0818338
0.164444 0.0167233 0.0121875 0.00199401 0.00453576 0.177875 0.0336447 0.082287
0.165333 0.0167428 0.0121881 0.00199054 0.00455473 0.179093 0.0338441 0.0827406
0.166222 0.0167899 0.0121886 0.0019872 0.00460124 0.180312 0.0340431 0.0831961
0.167111 0.0166777 0.0121893 0.00198399 0.00448842 0.181531 0.0342418 0.0836562
0.168 0.0167638 0.01219 0.00198089 0.00457386 0.18275 0.0344402 0.084105
0.168889 0.0168044 0.0121907 0.00197793 0.00461367 0.183969 0.0346383 0.0845624
0.169778 0.0168372 0.0121915 0.00197508 0.00464564 0.185188 0.0348361 0.0850238
0.170667 0.0166985 0.0121924 0.00197235 0.00450609 0.186407 0.0350336 0.0854883
0.171556 0.0167854 0.0121932 0.00196975 0.00459212 0.187627 0.0352309 0.085939
0.172444 0.0166871 0.0121942 0.00196727 0.00449296 0.188846 0.0354278 0.0863982
0.173333 0.0166754 0.0121951 0.0019649 0.00448035 0.190066 0.0356246 0.0868475
0.174222 0.0168034 0.0121961 0.00196265 0.00460732 0.191285 0.035821 0.0872955
0.175111 0.0167223 0.012197 0.00196052 0.00452526 0.192505 0.0360173 0.0877562
0.176 0.0168342 0.012198 0.00195849 0.00463623 0.193725 0.0362134 0.0882088
0.176889 0.0167781 0.012199 0.00195658 0.00457906 0.194944 0.0364092 0.0886724
0.177778 0.0167747 0.0122 0.00195478 0.00457465 0.196164 0.0366049 0.0891303
0.178667 0.0168259 0.0122011 0.00195308 0.00462483 0.197384 0.0368004 0.0895877
0.179556 0.0166873 0.0122021 0.00195149 0.00448523 0.198605 0.0369957 0.0900502
0.180444 0.0168137 0.0122031 0.00195 0.00461055 0.199825 0.0371908 0.0904988
0.181333 0.0168261 0.0122041 0.0019486 0.00462192 0.201045 0.0373858 0.0909598
0.182222 0.016786 0.0122052 0.00194731 0.00458081 0.202266 0.0375807 0.091422
0.183111 0.0167161 0.0122062 0.0019461 0.00450995 0.203486 0.0377754 0.0918801
0.184 0.0167912 0.0122072 0.00194499 0.00458401 0.204707 0.03797 0.0923311
