# gTb, C(b)/(g^2TC_R), Derivative
1.144060087933561176e+00, 1.644212385894534001e-01, 1.652387615219222117e-01
1.151387396189545553e+00, 1.662630366089551948e-01, 1.670860707551514446e-01
1.158714704445529931e+00, 1.681121178539408401e-01, 1.689406356993421177e-01
1.166042012701514308e+00, 1.699684375953557924e-01, 1.708024111657689692e-01
1.173369320957498685e+00, 1.718319512839584784e-01, 1.726713521515555738e-01
1.180696629213483062e+00, 1.737026145499611929e-01, 1.745474138392919539e-01
1.188023937469467439e+00, 1.755803832026707201e-01, 1.764305515966509696e-01
1.195351245725451816e+00, 1.774652132301290375e-01, 1.783207209760048761e-01
1.202678553981436194e+00, 1.793570607987544918e-01, 1.802178777140422961e-01
1.210005862237420571e+00, 1.812558822529819202e-01, 1.821219777313851651e-01
1.217333170493404948e+00, 1.831616341149038818e-01, 1.840329771322047336e-01
1.224660478749389325e+00, 1.850742730839111672e-01, 1.859508322038390116e-01
1.231987787005373702e+00, 1.869937560363336693e-01, 1.878754994164091863e-01
1.239315095261358080e+00, 1.889200400250811984e-01, 1.898069354224363459e-01
1.246642403517342457e+00, 1.908530822792838810e-01, 1.917450970564582857e-01
1.253969711773326834e+00, 1.927928402039334743e-01, 1.936899413346462040e-01
1.261297020029311211e+00, 1.947392713795235153e-01, 1.956414254544213416e-01
1.268624328285295588e+00, 1.966923335616906632e-01, 1.975995067940719829e-01
1.275951636541279965e+00, 1.986519846808548484e-01, 1.995641429123697352e-01
1.283278944797264121e+00, 2.006181828418605040e-01, 2.015352915481867235e-01
1.290606253053248498e+00, 2.025908863236172974e-01, 2.035129106201120364e-01
1.297933561309232875e+00, 2.045700535787403629e-01, 2.054969582260684768e-01
1.305260869565217252e+00, 2.065556432331918379e-01, 2.074873926429295357e-01
1.312588177821201629e+00, 2.085476140859208738e-01, 2.094841723261357258e-01
1.319915486077186006e+00, 2.105459251085047556e-01, 2.114872559093115278e-01
1.327242794333170384e+00, 2.125505354447898843e-01, 2.134966022038821687e-01
1.334570102589154761e+00, 2.145614044105320084e-01, 2.155121701986902893e-01
1.341897410845139138e+00, 2.165784914930372340e-01, 2.175339190596126404e-01
1.349224719101123515e+00, 2.186017563508029504e-01, 2.195618081291767776e-01
1.356552027357107892e+00, 2.206311588131582291e-01, 2.215957969261780347e-01
1.363879335613092270e+00, 2.226666588799048052e-01, 2.236358451452957197e-01
1.371206643869076647e+00, 2.247082167209577819e-01, 2.256819126567104206e-01
1.378533952125061024e+00, 2.267557926759864728e-01, 2.277339595057207011e-01
1.385861260381045401e+00, 2.288093472540549678e-01, 2.297919459123591301e-01
1.393188568637029778e+00, 2.308688411332628365e-01, 2.318558322710097819e-01
1.400515876893014156e+00, 2.329342351603863326e-01, 2.339255791500249315e-01
1.407843185148998533e+00, 2.350054903505186532e-01, 2.360011472913410013e-01
1.415170493404982910e+00, 2.370825678867108377e-01, 2.380824976100961998e-01
1.422497801660967287e+00, 2.391654291196126103e-01, 2.401695911942467732e-01
1.429825109916951664e+00, 2.412540355671131675e-01, 2.422623893041837839e-01
1.437152418172936041e+00, 2.433483489139817435e-01, 2.443608533723501119e-01
1.444479726428920419e+00, 2.454483310115084249e-01, 2.464649450028566224e-01
